Reference,Quantity,Description,Notes
F1,1,Automotive fuse and holder,1 A prototype value
D1,1,Automotive TVS diode,Select for load-dump environment
Q1,1,Reverse-polarity MOSFET,Automotive rated
U1,1,Protected 12 V to 5 V buck,Automotive prototype module
U2,1,3.3 V regulator,500 mA minimum
U3-U10,8,Optocoupler input channels,Validate CTR
U11-U18,8,Schmitt comparator channels,Add hysteresis
Rin/Cin,8,Input limiter and filter pairs,Validate pulse bandwidth
J1-J4,4,Locking connectors,Keyed and labeled
BZ1/Q2,1,12 V buzzer and MOSFET driver,Protect inductive loads
